Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,953,Sales,3,3,Medical,1,391,3,Male,48,3,1,Manager,2,Married,4228,15373,1,Y,No,11,3,3,80,0,10,1,4,7,3,3,1
41,No,Travel_Rarely,953,Research & Development,1,4,Life Sciences,1,392,2,Male,83,3,3,Research Scientist,3,Divorced,7904,9073,3,Y,No,18,4,3,80,0,22,4,3,5,2,2,0
25,Yes,Travel_Rarely,1117,Research & Development,3,4,Technical Degree,1,393,4,Female,51,1,1,Laboratory Technician,2,Single,4037,15592,9,Y,No,15,3,2,80,0,4,0,3,1,1,1,1
53,No,Travel_Rarely,1026,Research & Development,7,2,Technical Degree,1,394,1,Male,86,4,2,Healthcare Representative,3,Married,8894,19722,0,Y,No,11,3,3,80,1,32,5,3,2,2,0,2
48,No,Travel_Rarely,198,Research & Development,5,1,Medical,1,395,2,Male,67,3,2,Research Scientist,2,Married,7635,20384,1,Y,Yes,16,3,2,80,1,30,1,4,5,2,0,0
33,No,Travel_Rarely,741,Research & Development,5,3,Life Sciences,1,396,4,Male,86,3,2,Research Scientist,4,Single,6235,6195,2,Y,No,15,3,3,80,2,12,3,3,12,0,0,0
22,No,Travel_Rarely,1030,Research & Development,17,3,Medical,1,397,4,Male,49,3,3,Laboratory Technician,2,Married,8992,20783,0,Y,Yes,17,3,4,80,0,4,0,4,4,4,2,4
49,No,Travel_Rarely,516,Sales,11,4,Life Sciences,1,398,4,Male,66,3,1,Manager,3,Single,6149,18847,0,Y,Yes,17,3,4,80,1,31,2,2,8,2,1,2
36,No,Travel_Frequently,539,Research & Development,26,5,Life Sciences,1,399,1,Male,69,3,2,Research Director,4,Married,7082,2393,1,Y,Yes,11,3,2,80,3,15,3,3,3,1,1,3
48,No,Travel_Rarely,276,Research & Development,6,3,Marketing,1,400,3,Male,96,3,2,Laboratory Technician,3,Married,8189,3560,5,Y,No,14,4,3,80,3,27,1,3,6,3,0,6
23,No,Travel_Rarely,687,Sales,4,4,Life Sciences,1,401,3,Male,49,3,1,Manufacturing Director,3,Single,3829,18189,0,Y,No,15,3,1,80,1,2,2,3,2,2,1,2
32,No,Travel_Rarely,1481,Research & Development,2,3,Life Sciences,1,402,4,Male,96,3,1,Sales Representative,3,Single,5225,11650,1,Y,No,14,3,2,80,1,11,2,3,8,1,1,1
37,No,Travel_Rarely,501,Human Resources,11,4,Life Sciences,1,403,1,Female,86,3,1,Sales Executive,3,Married,5872,5733,4,Y,No,14,3,2,80,1,16,2,3,0,0,0,0
37,No,Travel_Rarely,844,Research & Development,18,2,Life Sciences,1,404,2,Male,81,4,2,Research Scientist,4,Divorced,7843,3200,8,Y,No,18,3,2,80,0,19,2,3,5,1,1,5
33,Yes,Travel_Rarely,1140,Research & Development,3,3,Life Sciences,1,405,3,Male,85,2,2,Healthcare Representative,1,Married,7532,6064,9,Y,Yes,11,3,3,80,0,14,4,3,2,1,1,2
43,No,Travel_Rarely,121,Research & Development,20,4,Other,1,406,1,Male,72,3,2,Manager,4,Married,5774,25941,1,Y,No,14,4,3,80,1,23,1,3,3,2,1,3
27,Yes,Travel_Rarely,1360,Research & Development,8,1,Life Sciences,1,407,3,Female,47,3,3,Sales Representative,3,Married,7022,20214,8,Y,Yes,14,3,4,80,0,7,1,3,7,4,1,1
36,No,Travel_Rarely,642,Research & Development,2,4,Life Sciences,1,408,4,Male,43,2,1,Research Scientist,4,Divorced,4828,15237,0,Y,No,15,3,2,80,1,18,2,3,1,1,1,1
38,No,Non-Travel,1316,Research & Development,10,4,Life Sciences,1,409,3,Male,91,4,2,Sales Executive,1,Divorced,6563,25543,3,Y,Yes,12,3,3,80,1,20,4,3,3,3,0,3
42,No,Travel_Rarely,156,Research & Development,8,3,Other,1,410,3,Female,81,3,1,Laboratory Technician,4,Married,5064,17513,3,Y,No,21,3,2,80,1,23,4,3,5,5,2,5
43,No,Travel_Rarely,305,Research & Development,1,3,Medical,1,411,4,Male,45,3,3,Research Scientist,1,Married,9872,20166,1,Y,No,18,3,2,80,0,22,3,2,14,0,0,3
27,Yes,Travel_Frequently,553,Research & Development,6,4,Life Sciences,1,412,1,Male,73,2,3,Research Scientist,4,Divorced,8206,9133,2,Y,Yes,22,3,4,80,0,9,4,2,4,0,0,4
23,No,Travel_Rarely,585,Research & Development,15,4,Technical Degree,1,413,2,Male,61,3,2,Healthcare Representative,3,Married,5731,16763,0,Y,No,17,4,3,80,0,3,4,4,3,2,0,1
48,No,Travel_Rarely,1286,Human Resources,8,3,Life Sciences,1,414,3,Female,41,2,1,Sales Executive,3,Married,5780,5667,5,Y,Yes,17,4,4,80,0,27,2,1,14,1,1,1
40,No,Travel_Rarely,118,Research & Development,4,3,Life Sciences,1,415,1,Male,67,3,1,Manager,3,Single,5240,12168,1,Y,Yes,15,3,3,80,3,22,1,2,3,3,1,2
30,Yes,Travel_Rarely,998,Sales,25,4,Life Sciences,1,416,1,Female,50,3,3,Laboratory Technician,1,Divorced,7926,2922,2,Y,Yes,20,3,2,80,0,9,2,3,3,3,0,1
51,No,Travel_Rarely,285,Research & Development,3,3,Life Sciences,1,417,3,Female,37,3,1,Laboratory Technician,3,Divorced,7390,7489,0,Y,Yes,17,3,1,80,0,31,2,2,3,3,1,3
38,No,Travel_Frequently,1252,Research & Development,4,2,Life Sciences,1,418,4,Male,63,3,3,Sales Executive,2,Single,7349,3959,1,Y,No,14,4,4,80,0,17,3,3,13,1,1,1
48,No,Travel_Rarely,1190,Sales,5,3,Medical,1,419,4,Male,71,2,1,Research Scientist,3,Married,7220,11752,9,Y,Yes,21,3,1,80,1,30,3,2,0,0,0,0
38,No,Travel_Rarely,800,Research & Development,21,5,Life Sciences,1,420,3,Male,33,1,1,Sales Executive,4,Married,7235,23090,3,Y,No,11,3,4,80,1,20,3,2,3,2,2,3
56,No,Travel_Rarely,399,Research & Development,7,4,Medical,1,421,1,Male,58,3,2,Research Director,1,Single,9493,11506,8,Y,No,13,3,3,80,0,36,1,3,8,1,1,2
53,No,Travel_Frequently,988,Research & Development,11,5,Life Sciences,1,422,2,Male,48,3,3,Manager,3,Divorced,9328,22806,1,Y,No,23,3,2,80,3,34,4,3,6,3,0,1
35,No,Travel_Rarely,320,Sales,29,4,Life Sciences,1,423,2,Female,32,4,1,Laboratory Technician,3,Single,4691,18444,0,Y,Yes,17,3,3,80,2,16,2,2,4,2,1,3
46,Yes,Travel_Rarely,367,Research & Development,15,5,Life Sciences,1,424,2,Female,39,3,1,Research Scientist,2,Single,6627,14784,2,Y,Yes,11,3,1,80,0,25,2,3,5,2,2,5
43,No,Travel_Rarely,977,Research & Development,3,2,Other,1,425,1,Female,40,3,3,Research Director,4,Married,9201,7994,2,Y,Yes,18,3,1,80,1,25,6,3,2,1,1,2
49,No,Travel_Rarely,1487,Sales,15,4,Life Sciences,1,426,3,Male,43,1,2,Research Scientist,3,Married,7675,25060,0,Y,No,12,3,4,80,0,31,2,3,4,0,0,0
28,No,Travel_Rarely,1347,Human Resources,13,1,Medical,1,427,3,Female,86,3,2,Sales Executive,1,Single,6159,3444,3,Y,No,13,3,3,80,0,8,2,3,5,2,0,0
43,No,Travel_Rarely,931,Research & Development,3,4,Life Sciences,1,428,2,Female,61,2,1,Laboratory Technician,1,Married,4743,19251,1,Y,Yes,23,3,3,80,2,23,3,2,16,1,1,1
47,No,Non-Travel,854,Sales,5,3,Life Sciences,1,429,4,Female,40,3,1,Research Director,3,Married,6016,17566,1,Y,No,20,3,2,80,0,29,4,3,2,0,0,1
21,No,Travel_Rarely,1497,Research & Development,12,3,Life Sciences,1,430,4,Male,37,3,1,Sales Executive,2,Single,2915,13078,1,Y,Yes,21,3,1,80,0,1,1,3,1,1,1,1
26,Yes,Travel_Rarely,867,Research & Development,3,4,Life Sciences,1,431,3,Female,51,3,1,Research Scientist,1,Single,4938,8079,2,Y,No,13,3,3,80,0,7,3,2,7,1,1,6
19,Yes,Travel_Rarely,689,Research & Development,3,4,Life Sciences,1,432,1,Male,86,2,2,Research Director,1,Married,4925,12820,3,Y,Yes,14,3,3,80,0,0,5,3,0,0,0,0
35,No,Travel_Rarely,1373,Sales,12,1,Life Sciences,1,433,4,Male,56,3,1,Sales Executive,3,Single,4961,23830,2,Y,No,16,3,4,80,2,14,2,3,9,0,0,1
43,No,Travel_Rarely,429,Sales,20,3,Marketing,1,434,3,Male,41,1,1,Sales Executive,3,Divorced,5284,22934,2,Y,No,18,3,3,80,0,23,2,3,0,0,0,0
51,No,Travel_Rarely,238,Sales,2,3,Life Sciences,1,435,2,Female,58,1,5,Laboratory Technician,1,Divorced,13706,25539,0,Y,No,14,3,4,80,0,30,3,3,30,4,3,7
38,No,Travel_Frequently,988,Research & Development,6,3,Medical,1,436,3,Female,69,3,2,Sales Representative,3,Divorced,7698,9760,6,Y,No,21,3,1,80,1,18,2,3,14,3,1,2
52,No,Travel_Rarely,236,Research & Development,9,4,Life Sciences,1,437,3,Male,32,4,1,Laboratory Technician,4,Single,6589,11735,7,Y,No,16,3,1,80,0,32,2,3,2,2,2,2
25,No,Travel_Rarely,623,Sales,11,3,Medical,1,438,3,Male,74,3,1,Human Resources,4,Divorced,3720,2560,3,Y,No,19,4,1,80,0,6,4,3,2,2,2,2
22,No,Travel_Rarely,694,Sales,29,5,Medical,1,439,3,Male,58,3,1,Manufacturing Director,4,Married,3669,25578,0,Y,No,13,3,4,80,0,4,3,3,3,2,2,3
37,No,Travel_Rarely,867,Research & Development,11,2,Life Sciences,1,440,3,Male,31,1,2,Sales Executive,4,Married,8848,10297,2,Y,Yes,14,4,4,80,0,17,1,3,3,3,1,1
40,No,Travel_Rarely,1487,Research & Development,10,4,Life Sciences,1,441,4,Male,77,1,1,Human Resources,2,Single,6159,12160,2,Y,No,16,3,1,80,0,20,2,2,3,2,0,1
37,Yes,Travel_Frequently,411,Research & Development,29,4,Marketing,1,442,3,Male,80,2,1,Research Scientist,1,Single,5002,24703,9,Y,No,14,3,1,80,0,17,3,3,3,3,3,3
18,No,Non-Travel,627,Human Resources,2,3,Technical Degree,1,443,1,Female,74,4,1,Research Scientist,3,Married,3341,15209,9,Y,Yes,18,4,3,80,0,0,2,3,0,0,0,0
36,No,Travel_Rarely,287,Research & Development,2,3,Life Sciences,1,444,1,Male,54,3,1,Laboratory Technician,3,Married,3849,16195,5,Y,No,18,3,4,80,1,15,3,3,1,1,1,1
25,No,Travel_Rarely,951,Sales,8,4,Life Sciences,1,445,2,Male,67,4,1,Research Scientist,4,Single,5023,6483,0,Y,Yes,14,3,4,80,0,4,3,2,4,4,0,0
43,No,Travel_Frequently,1119,Research & Development,5,4,Human Resources,1,446,3,Male,57,3,2,Sales Executive,2,Married,6871,14513,8,Y,No,17,3,2,80,3,23,2,1,12,1,1,1
40,No,Travel_Rarely,775,Research & Development,2,3,Life Sciences,1,447,2,Female,79,3,2,Sales Executive,3,Single,8043,24962,2,Y,No,21,3,3,80,0,20,6,3,5,1,1,2
29,No,Travel_Rarely,445,Research & Development,4,3,Medical,1,448,3,Female,71,4,1,Laboratory Technician,3,Married,5102,16009,4,Y,Yes,18,3,4,80,1,8,5,2,8,1,0,3
32,No,Travel_Rarely,969,Human Resources,11,2,Life Sciences,1,449,2,Female,36,2,2,Manager,3,Married,7562,8448,1,Y,Yes,17,3,2,80,2,11,0,3,2,1,1,2
27,Yes,Travel_Frequently,855,Sales,20,2,Life Sciences,1,450,3,Male,75,3,1,Laboratory Technician,3,Divorced,5047,2871,1,Y,No,19,3,3,80,0,8,2,3,0,0,0,0
36,No,Travel_Rarely,341,Sales,2,3,Medical,1,451,4,Male,78,4,1,Human Resources,2,Divorced,4912,10470,2,Y,Yes,20,3,2,80,1,16,2,2,7,3,0,1
46,No,Travel_Frequently,669,Research & Development,8,2,Medical,1,452,1,Male,56,3,2,Research Scientist,4,Married,7613,16354,0,Y,Yes,20,3,2,80,2,25,1,3,4,4,1,1
28,No,Travel_Frequently,710,Sales,4,4,Life Sciences,1,453,3,Female,91,2,1,Research Scientist,3,Married,4540,3155,1,Y,No,15,3,4,80,0,9,2,3,6,5,1,2
42,No,Travel_Rarely,1475,Sales,11,4,Medical,1,454,4,Female,89,2,1,Sales Executive,3,Married,5505,17281,5,Y,No,18,4,4,80,3,24,2,3,16,1,0,2
32,Yes,Travel_Frequently,1288,Sales,8,5,Technical Degree,1,455,2,Female,42,3,4,Sales Executive,2,Divorced,8861,15130,0,Y,Yes,14,3,3,80,0,12,0,2,12,12,2,4
30,No,Travel_Frequently,1128,Sales,25,4,Medical,1,456,4,Female,93,1,2,Research Scientist,3,Married,4596,21605,0,Y,No,15,3,1,80,0,9,1,2,7,3,1,1
36,No,Travel_Rarely,1344,Research & Development,1,5,Life Sciences,1,457,3,Female,61,4,1,Manager,2,Single,5687,2813,0,Y,Yes,16,3,4,80,1,16,1,3,10,2,1,3
28,No,Travel_Rarely,1129,Sales,7,3,Medical,1,458,3,Male,81,1,1,Sales Representative,2,Single,4375,21541,1,Y,Yes,11,3,2,80,0,9,0,3,1,1,1,1
32,Yes,Travel_Rarely,1364,Research & Development,3,3,Marketing,1,459,1,Female,87,3,1,Human Resources,2,Married,5448,15066,9,Y,No,16,3,2,80,1,11,2,3,1,1,1,1
26,No,Travel_Rarely,178,Research & Development,8,5,Technical Degree,1,460,4,Male,65,3,2,Research Scientist,1,Married,5936,11322,0,Y,Yes,13,4,3,80,2,8,2,2,8,4,1,8
55,No,Travel_Rarely,739,Research & Development,18,4,Medical,1,461,3,Male,58,3,2,Sales Representative,3,Divorced,8559,26137,0,Y,Yes,11,3,3,80,3,37,5,2,4,1,1,4
37,No,Travel_Rarely,1145,Sales,23,1,Life Sciences,1,462,3,Male,94,3,1,Research Scientist,2,Single,5984,6082,6,Y,Yes,17,3,1,80,1,18,1,3,4,2,2,4
31,No,Travel_Rarely,917,Research & Development,6,4,Marketing,1,463,4,Male,46,4,2,Sales Executive,4,Married,7884,15576,5,Y,No,14,4,3,80,3,13,5,3,3,3,0,1
39,No,Travel_Frequently,347,Sales,16,5,Medical,1,464,3,Male,48,3,2,Sales Representative,1,Divorced,7027,10088,0,Y,No,16,4,1,80,0,21,1,4,7,2,1,1
36,No,Travel_Rarely,578,Research & Development,4,4,Life Sciences,1,465,2,Male,55,3,1,Manufacturing Director,1,Divorced,4440,15231,3,Y,Yes,14,3,4,80,0,18,3,3,1,1,1,0
35,No,Travel_Rarely,546,Research & Development,1,3,Medical,1,466,1,Male,90,2,1,Sales Executive,4,Married,6130,15848,3,Y,Yes,13,3,4,80,1,17,2,1,7,3,1,4
43,No,Travel_Rarely,467,Research & Development,18,4,Life Sciences,1,467,2,Male,96,1,2,Laboratory Technician,1,Married,7370,4322,4,Y,No,15,3,4,80,1,25,4,3,1,1,1,1
44,Yes,Travel_Rarely,581,Research & Development,2,5,Medical,1,468,4,Male,45,1,2,Research Scientist,1,Single,7292,18560,2,Y,Yes,11,3,3,80,0,26,1,4,0,0,0,0
32,Yes,Travel_Rarely,821,Research & Development,1,2,Life Sciences,1,469,1,Male,90,2,2,Healthcare Representative,1,Divorced,6400,17896,9,Y,Yes,15,3,2,80,1,14,5,2,3,3,3,3
32,No,Travel_Rarely,1296,Research & Development,5,4,Medical,1,470,3,Male,48,3,1,Laboratory Technician,4,Single,4105,21258,0,Y,No,21,3,4,80,0,11,0,3,2,0,0,2
35,No,Travel_Rarely,1139,Research & Development,5,3,Other,1,471,2,Male,98,3,3,Human Resources,4,Divorced,9379,4352,1,Y,No,11,3,4,80,1,17,2,3,15,4,1,8
18,No,Travel_Frequently,1269,Research & Development,2,4,Technical Degree,1,472,4,Female,72,3,1,Sales Executive,2,Married,2729,9497,1,Y,No,19,3,1,80,3,0,2,2,0,0,0,0
23,No,Travel_Frequently,1336,Research & Development,16,3,Other,1,473,3,Female,30,2,2,Research Scientist,3,Married,5922,18285,1,Y,No,21,3,3,80,1,3,3,3,1,0,0,1
49,Yes,Travel_Rarely,683,Research & Development,6,2,Other,1,474,4,Female,32,3,1,Laboratory Technician,3,Single,6400,5499,6,Y,No,13,4,2,80,0,30,5,3,6,3,0,1
52,No,Travel_Frequently,585,Research & Development,7,2,Life Sciences,1,475,4,Female,40,4,1,Laboratory Technician,4,Married,6041,18970,2,Y,No,16,3,2,80,1,34,2,3,5,2,2,1
35,Yes,Travel_Frequently,182,Human Resources,4,4,Medical,1,476,4,Male,43,4,1,Research Scientist,1,Married,6350,3564,0,Y,Yes,11,3,3,80,0,16,3,4,0,0,0,0
42,No,Travel_Rarely,1402,Research & Development,7,2,Medical,1,477,1,Female,84,4,1,Healthcare Representative,4,Single,6439,10435,1,Y,No,11,3,4,80,2,24,3,3,0,0,0,0
40,No,Non-Travel,194,Research & Development,14,3,Technical Degree,1,478,2,Male,46,3,3,Sales Representative,1,Married,8556,23181,1,Y,Yes,16,3,2,80,0,19,3,3,19,1,1,0
60,No,Travel_Frequently,1137,Sales,22,4,Life Sciences,1,479,1,Male,98,3,2,Research Director,3,Divorced,8715,21378,8,Y,No,16,4,3,80,0,40,3,3,8,2,0,4
47,No,Travel_Rarely,630,Human Resources,29,3,Other,1,480,3,Female,75,4,1,Manager,1,Married,6675,18152,2,Y,Yes,13,3,4,80,0,27,0,3,3,1,0,3
36,No,Travel_Rarely,1427,Sales,6,3,Medical,1,481,3,Male,78,3,1,Sales Representative,4,Married,5224,23773,3,Y,Yes,12,3,3,80,0,17,2,1,4,4,1,4
28,No,Travel_Rarely,688,Research & Development,29,5,Technical Degree,1,482,2,Female,45,4,1,Laboratory Technician,3,Single,5641,19758,3,Y,No,13,4,4,80,1,9,4,3,2,2,2,1
23,Yes,Travel_Rarely,1243,Sales,4,3,Life Sciences,1,483,1,Female,92,1,2,Manager,3,Married,6293,15029,4,Y,No,18,4,1,80,0,3,2,3,3,3,0,2
39,No,Travel_Frequently,497,Sales,1,3,Life Sciences,1,484,3,Female,77,4,2,Research Scientist,4,Single,7242,26494,3,Y,Yes,18,3,4,80,2,18,4,1,7,0,0,1
30,No,Travel_Rarely,520,Research & Development,14,3,Marketing,1,485,2,Female,91,3,2,Research Scientist,3,Married,6515,19399,1,Y,Yes,17,3,2,80,1,9,4,1,9,8,2,0
24,No,Travel_Frequently,934,Human Resources,3,4,Life Sciences,1,486,3,Male,97,2,1,Research Scientist,4,Divorced,6639,17071,5,Y,No,14,3,4,80,0,4,4,4,1,1,1,1
31,No,Travel_Frequently,1496,Sales,1,5,Technical Degree,1,487,1,Male,39,2,3,Laboratory Technician,2,Married,7545,12277,3,Y,Yes,12,3,2,80,1,12,1,2,12,0,0,0
27,No,Travel_Rarely,825,Research & Development,24,5,Life Sciences,1,488,3,Male,37,4,1,Research Scientist,3,Single,3644,24569,3,Y,No,19,4,3,80,1,9,2,3,1,1,1,0
52,No,Travel_Rarely,1410,Sales,15,4,Medical,1,489,3,Male,86,3,1,Research Director,1,Married,6087,9459,9,Y,No,20,3,2,80,2,31,0,4,2,1,1,2
45,No,Travel_Rarely,1200,Sales,2,3,Life Sciences,1,490,3,Female,91,4,3,Research Scientist,3,Married,10684,2324,4,Y,No,13,3,3,80,1,27,6,3,0,0,0,0
37,No,Travel_Rarely,1214,Research & Development,15,1,Medical,1,491,2,Female,71,2,1,Sales Executive,4,Married,3269,6994,4,Y,No,15,3,2,80,0,18,2,2,1,1,1,1
50,No,Travel_Rarely,711,Research & Development,18,3,Marketing,1,492,2,Female,56,3,2,Laboratory Technician,4,Divorced,6637,4822,8,Y,Yes,11,3,4,80,1,32,2,3,17,2,0,2
38,No,Travel_Rarely,642,Sales,22,2,Life Sciences,1,493,4,Male,76,3,1,Sales Executive,4,Divorced,4920,10039,0,Y,No,17,3,2,80,0,18,2,2,4,4,3,4
29,No,Travel_Rarely,370,Research & Development,8,4,Life Sciences,1,494,3,Male,51,3,1,Sales Executive,2,Married,6136,22663,2,Y,No,21,3,3,80,0,8,0,2,1,1,0,0
51,No,Travel_Frequently,1449,Sales,12,4,Life Sciences,1,495,3,Male,47,3,4,Sales Executive,3,Married,11620,18320,2,Y,No,18,3,1,80,3,30,2,3,22,0,0,3
42,No,Travel_Rarely,1442,Research & Development,14,1,Medical,1,496,3,Male,64,3,3,Laboratory Technician,2,Single,8230,6302,1,Y,No,22,4,4,80,0,22,1,3,15,9,1,1
28,No,Travel_Rarely,1146,Human Resources,12,4,Medical,1,497,1,Female,45,1,2,Laboratory Technician,4,Single,6898,21740,5,Y,No,14,3,3,80,1,8,2,3,8,8,2,6
35,No,Travel_Rarely,516,Research & Development,10,3,Marketing,1,498,4,Male,64,2,4,Manager,2,Married,11650,14652,4,Y,No,11,3,4,80,0,14,5,3,14,3,1,1
29,Yes,Travel_Frequently,445,Research & Development,8,3,Medical,1,499,4,Male,97,1,1,Healthcare Representative,3,Married,3929,14863,3,Y,Yes,20,3,3,80,0,8,3,2,2,2,0,1
25,No,Travel_Rarely,1483,Research & Development,7,4,Medical,1,500,3,Male,89,4,2,Laboratory Technician,4,Married,6284,11112,9,Y,No,16,3,2,80,0,4,3,3,4,0,0,4
45,No,Travel_Rarely,195,Research & Development,29,3,Life Sciences,1,501,4,Female,96,3,2,Research Scientist,4,Married,7805,23627,1,Y,No,12,3,2,80,1,26,2,2,8,5,1,1
54,No,Non-Travel,1280,Sales,5,3,Life Sciences,1,502,2,Female,86,3,2,Research Scientist,3,Single,8858,10022,3,Y,Yes,21,3,4,80,0,35,4,3,14,0,0,0
24,No,Travel_Rarely,599,Research & Development,2,2,Life Sciences,1,503,3,Male,55,3,1,Healthcare Representative,2,Married,3833,4439,2,Y,No,13,3,3,80,0,5,4,3,5,0,0,1
42,No,Travel_Rarely,687,Research & Development,14,3,Other,1,504,4,Male,87,4,2,Sales Executive,3,Single,8023,9633,1,Y,No,12,3,4,80,2,24,5,2,3,2,0,3
31,No,Travel_Rarely,1264,Sales,3,4,Technical Degree,1,505,2,Male,95,1,3,Sales Executive,2,Single,9031,19910,0,Y,No,17,3,1,80,0,12,1,3,10,1,1,1
33,No,Travel_Frequently,229,Sales,8,5,Life Sciences,1,506,1,Male,96,2,1,Manager,3,Divorced,5331,18471,6,Y,No,11,3,3,80,0,12,4,2,2,0,0,2
32,No,Travel_Rarely,597,Human Resources,2,3,Medical,1,507,4,Female,78,3,3,Laboratory Technician,4,Single,7142,6777,2,Y,No,18,3,4,80,2,13,2,3,3,2,2,0
29,No,Travel_Rarely,1432,Research & Development,10,3,Technical Degree,1,508,1,Female,45,4,2,Sales Executive,1,Married,5093,4878,4,Y,Yes,12,3,1,80,3,8,2,3,1,0,0,1
37,No,Travel_Rarely,1079,Sales,27,4,Medical,1,509,4,Male,33,3,2,Research Scientist,3,Single,6409,18553,2,Y,No,16,3,1,80,0,17,2,3,17,1,0,4
30,No,Non-Travel,1157,Sales,13,5,Life Sciences,1,510,1,Male,40,3,1,Research Director,4,Divorced,4974,18939,1,Y,No,16,3,4,80,2,12,3,3,2,0,0,2
39,No,Travel_Rarely,1160,Research & Development,3,3,Life Sciences,1,511,3,Female,98,3,2,Sales Representative,1,Married,7727,11213,1,Y,Yes,16,3,2,80,0,21,3,3,5,1,1,2
37,No,Travel_Rarely,187,Research & Development,29,3,Medical,1,512,2,Male,62,4,2,Healthcare Representative,3,Single,6117,23084,1,Y,No,11,3,3,80,0,17,1,4,3,3,3,0
35,No,Non-Travel,386,Research & Development,4,4,Other,1,513,2,Female,90,3,3,Laboratory Technician,4,Married,8779,26456,9,Y,No,14,3,3,80,2,14,4,3,14,5,1,1
29,No,Travel_Rarely,788,Human Resources,6,3,Marketing,1,514,4,Male,63,3,2,Laboratory Technician,4,Married,7237,7216,0,Y,No,19,3,4,80,2,11,2,4,3,2,1,1
32,No,Non-Travel,616,Sales,7,2,Life Sciences,1,515,4,Male,76,3,3,Human Resources,3,Divorced,8974,16466,9,Y,No,14,3,4,80,0,13,0,3,11,2,1,2
44,No,Non-Travel,676,Research & Development,29,4,Life Sciences,1,516,2,Male,32,4,3,Research Director,1,Single,8872,2227,9,Y,No,12,3,3,80,0,23,2,3,14,0,0,2
42,No,Travel_Frequently,1194,Research & Development,2,2,Marketing,1,517,2,Male,47,3,1,Sales Executive,1,Divorced,5425,19853,9,Y,No,14,3,2,80,0,24,2,4,4,0,0,4
28,No,Travel_Rarely,123,Research & Development,12,3,Technical Degree,1,518,4,Female,61,3,1,Manager,3,Divorced,3402,12412,2,Y,No,11,3,2,80,0,8,1,3,3,1,1,0
38,No,Travel_Rarely,1025,Sales,5,3,Medical,1,519,4,Male,74,2,2,Sales Executive,1,Divorced,8352,6907,8,Y,Yes,11,3,4,80,1,17,1,3,10,2,2,3
44,No,Travel_Frequently,102,Human Resources,2,4,Medical,1,520,3,Male,42,3,5,Sales Executive,1,Married,13459,20828,1,Y,Yes,14,3,3,80,1,26,6,3,17,4,2,2
22,Yes,Non-Travel,190,Research & Development,26,3,Life Sciences,1,521,3,Male,84,3,1,Manufacturing Director,4,Married,2670,22283,0,Y,No,15,3,4,80,0,2,4,3,2,2,1,2
42,No,Travel_Rarely,672,Research & Development,9,3,Technical Degree,1,522,2,Male,56,2,1,Research Scientist,4,Married,6461,4863,1,Y,No,17,3,3,80,1,21,1,3,2,1,0,2
31,No,Travel_Frequently,1277,Research & Development,14,3,Marketing,1,523,4,Male,87,4,3,Research Director,4,Married,8887,3115,7,Y,Yes,16,4,1,80,2,12,3,2,12,0,0,1
42,No,Travel_Rarely,305,Sales,3,4,Life Sciences,1,524,4,Male,37,3,1,Sales Executive,1,Married,6435,10414,0,Y,No,17,3,2,80,0,21,2,3,3,3,2,0
30,No,Travel_Rarely,877,Research & Development,14,2,Marketing,1,525,3,Female,78,3,2,Laboratory Technician,1,Married,6033,17684,2,Y,Yes,15,3,2,80,1,11,2,4,6,1,1,3
21,No,Travel_Rarely,1050,Research & Development,17,3,Life Sciences,1,526,3,Male,51,4,1,Sales Representative,4,Married,3465,21854,0,Y,No,21,3,4,80,3,0,2,3,0,0,0,0
22,No,Travel_Frequently,423,Research & Development,6,2,Life Sciences,1,527,3,Male,86,2,2,Sales Representative,4,Married,5110,15694,1,Y,No,12,3,4,80,0,2,0,3,1,1,1,0
37,No,Travel_Rarely,818,Human Resources,9,4,Life Sciences,1,528,4,Female,58,3,1,Sales Executive,4,Divorced,6934,16558,0,Y,No,14,3,1,80,2,18,2,3,11,4,4,1
39,No,Travel_Rarely,1375,Research & Development,29,3,Life Sciences,1,529,4,Male,77,3,3,Research Scientist,4,Single,8599,22014,5,Y,No,20,3,3,80,1,20,1,3,6,6,0,1
29,No,Non-Travel,818,Research & Development,18,3,Life Sciences,1,530,4,Female,95,4,2,Manufacturing Director,4,Divorced,5476,15265,2,Y,Yes,14,3,4,80,0,8,2,2,8,8,1,3
43,Yes,Travel_Rarely,322,Research & Development,6,3,Medical,1,531,3,Male,31,3,2,Sales Executive,3,Married,7082,17315,6,Y,Yes,15,3,4,80,0,25,4,2,1,1,0,1
22,No,Travel_Rarely,979,Sales,11,4,Medical,1,532,3,Female,31,3,1,Research Director,2,Divorced,3780,14950,3,Y,No,16,3,3,80,1,3,6,1,3,2,2,2
